set|date|setID
Collectible Tins 2011 Wave 1|2011-08-25|3296
Demo Pack|2011-02-12|3316
Duelist League 3 participation cards|2011-06-01|3325
Duelist League 13 participation cards|2011-12-01|3326
Duelist Pack: Yusei 3|2011-01-21|3351
Duelist Pack: Crow|2011-05-27|3352
Duelist Pack Collection Tin 2011|2011-03-31|3355
Duel Terminal 4|2011-01-25|3374
Duel Terminal 5a|2011-05-29|3375
Extreme Victory|2011-05-06|3396
Generation Force|2011-08-16|3407
Gold Series 4: Pyramids Edition|2011-06-24|3412
Hidden Arsenal 4: Trishula's Triumph|2011-04-15|3426
Hidden Arsenal 5: Steelswarm Invasion|2011-12-01|3427
Hidden Arsenal: Special Edition|2011-07-22|3430
Shonen Jump Scholastic Edition Vol. 9, Issue 1 promotional card|2011-01-01|3454
Shonen Jump December 2011 subscription bonus|2011-12-01|3468
Legendary Collection 2: The Duel Academy Years|2011-10-04|3475
Legendary Collection 2: The Duel Academy Years Mega Pack|2011-10-04|3481
Yu-Gi-Oh! 3D Bonds Beyond Time DVD promotional card|2011-07-25|3516
Photon Shockwave|2011-11-10|3563
Samurai Assault|2011-12-06|3586
Dragunity Legion Structure Deck|2011-03-04|3611
Gates of the Underworld Structure Deck|2011-10-13|3614
Lost Sanctuary Structure Deck|2011-06-10|3620
Storm of Ragnarok|2011-02-08|3684
Turbo Pack: Booster Five|2011-04-09|3713
Turbo Pack: Booster Six|2011-08-04|3714
Yu-Gi-Oh! 5D's World Championship 2011: Over the Nexus promotional cards|2011-05-10|3726
World Championship 2011 Card Pack|2011-08-01|3737
Yu-Gi-Oh! World Championship Qualifier National Championships 2011 prize cards|2011-05-01|3738
Yu-Gi-Oh! Championship Series 2011 Prize Card|2011-08-07|3758
Yu-Gi-Oh! 5D's Volume 1 promotional card|2011-07-06|3762
Yu-Gi-Oh! GX Volume 6 promotional card|2011-03-01|3776
Yu-Gi-Oh! GX Volume 7 promotional card|2011-08-18|3777
Yu-Gi-Oh! GX Volume 9 promotional card|2011-08-07|3779
Yu-Gi-Oh! 3D Bonds Beyond Time Movie Pack|2011-02-22|3781
Starter Deck: Dawn of the Xyz|2011-07-08|3786
Duelist Pack Collection Tin 2011|2011-03-31|5289
Starter Deck: Duelist Toolbox|2010-05-28|3244
Absolute Powerforce|2010-02-12|3245
Collectible Tins 2010 Wave 1|2010-08-31|3295
Duelist League 2 participation cards|2010-12-01|3324
Duelist Pack: Yusei 2|2010-01-15|3349
Duelist Pack Collection Tin 2010|2010-03-05|3356
Duelist Pack: Kaiba|2010-04-16|3360
Duelist Revolution|2010-08-17|3367
