name|id|rarity|imgURL|setID|game|set|date
Elias Sandoval|292644|20|https://api.ccgtrader.co.uk/uploads/_/originals/e45df044-8629-42aa-baaa-21205083b2e2.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Eve McHuron|292596|20|https://api.ccgtrader.co.uk/uploads/_/originals/2e52d8a4-120d-4de1-a514-c5ba50c15e68.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Former Love|292598|34|https://api.ccgtrader.co.uk/uploads/_/originals/a934d57a-68f5-4c78-9f31-d718821140f1.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Former Rival Finnegan|292599|34|https://api.ccgtrader.co.uk/uploads/_/originals/0e4009a3-419c-4c6b-a49c-d13f89ac43cf.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Galactic High Commissioner Ferris|292597|34|https://api.ccgtrader.co.uk/uploads/_/originals/8c384859-8e9f-44c7-a9af-6177b43a5e6a.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Genghis Khan|292587|20|https://api.ccgtrader.co.uk/uploads/_/originals/46771f63-46f5-4e1a-9f57-409c9fa7d700.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Gorn Captain|292601|10|https://api.ccgtrader.co.uk/uploads/_/originals/3ee85db5-2787-4769-ba31-b8d707c1b50e.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Hacom|292602|30|https://api.ccgtrader.co.uk/uploads/_/originals/448e766c-d1d3-4661-b255-e7ab8aef7e93.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Horta|292605|20|https://api.ccgtrader.co.uk/uploads/_/originals/c260ade5-72b7-4624-8b7a-07bb34979348.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Hostile Miners|292606|10|https://api.ccgtrader.co.uk/uploads/_/originals/f656c5f5-94c2-4e3e-8225-170704965eee.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Insane Colonists|292607|10|https://api.ccgtrader.co.uk/uploads/_/originals/0fe27bfe-c08a-4b75-9f55-76f06df0d34c.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Jahn|292608|30|https://api.ccgtrader.co.uk/uploads/_/originals/6d3660f6-f15a-400c-af64-89e5bbdb743a.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Joaquin|292609|20|https://api.ccgtrader.co.uk/uploads/_/originals/01bf8a0f-b08a-4b88-89dc-27f1cf7022f2.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Kahless|292610|30|https://api.ccgtrader.co.uk/uploads/_/originals/5abe9269-1808-4d37-bb13-05b76da42653.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Kang|292532|20|https://api.ccgtrader.co.uk/uploads/_/originals/6d5b3ef5-a8fa-456d-a261-f6c7b7d17c41.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Khan Noonien Singh|292612|30|https://api.ccgtrader.co.uk/uploads/_/originals/af37e3f6-f0c6-4d1f-977d-3f7ec1f36a29.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Klingon Landing Party|292613|10|https://api.ccgtrader.co.uk/uploads/_/originals/563e30d1-b259-4017-a0ff-16711f2bd592.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Klingon Sniper|292614|34|https://api.ccgtrader.co.uk/uploads/_/originals/206e93ac-eabd-4fcf-9c59-3ae029026a36.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Klingon Warrior|292615|20|https://api.ccgtrader.co.uk/uploads/_/originals/5d40b8d9-525c-41f0-bb39-84503c3a5bb8.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Kor|292617|20|https://api.ccgtrader.co.uk/uploads/_/originals/34e7dbfa-4117-4016-8e50-adce77906440.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Landru|292618|30|https://api.ccgtrader.co.uk/uploads/_/originals/28a55f7d-5f58-4063-a519-6e8d9b598f42.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Lawgivers|292619|10|https://api.ccgtrader.co.uk/uploads/_/originals/e44c0ce7-d329-4bed-8734-3eb89530be7b.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Lazarus|292620|10|https://api.ccgtrader.co.uk/uploads/_/originals/8f23393d-8e72-4ad5-bae2-f5ad954c63ea.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Leila Kalomi|292621|20|https://api.ccgtrader.co.uk/uploads/_/originals/059f8ab8-bf17-4510-bc14-e9fbf9b31fdf.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Lenore Karidian|292622|30|https://api.ccgtrader.co.uk/uploads/_/originals/7e7a926b-3933-47b6-ba9f-4cd25bc8bc94.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Lethe|292623|30|https://api.ccgtrader.co.uk/uploads/_/originals/07a4760c-26ac-407f-8b2c-56d8d467c87e.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Lieutenant Commander Gary Mitchell (chall)|292600|34|https://api.ccgtrader.co.uk/uploads/_/originals/002355ca-3043-4936-ba6d-3d5c5ed3cf37.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
M-113 Monster (Crewman Green Form)|292626|34|https://api.ccgtrader.co.uk/uploads/_/originals/292f692b-9690-47bb-9827-c9985e846bb4.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
M-113 Monster (Natural Form)|292625|34|https://api.ccgtrader.co.uk/uploads/_/originals/eb409b18-4ff8-41d9-a8df-6ca3fa93ef29.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Magda Kovacs|292627|10|https://api.ccgtrader.co.uk/uploads/_/originals/2b7a8043-6df3-4a03-a9db-06634272774c.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Mara|292569|20|https://api.ccgtrader.co.uk/uploads/_/originals/fad496a7-cca4-4dbc-8476-2d78ad6b7872.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Melkotians|292577|20|https://api.ccgtrader.co.uk/uploads/_/originals/4f340731-eee8-4974-8330-9dc1655f3a70.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Metron|292629|30|https://api.ccgtrader.co.uk/uploads/_/originals/0e689240-e2f2-4c58-bdec-2f8723f85c0b.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Military Officers, 20th Century|292630|20|https://api.ccgtrader.co.uk/uploads/_/originals/15fe6370-fc97-444b-8b0a-0043b3e27cf9.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Miri|292631|20|https://api.ccgtrader.co.uk/uploads/_/originals/1c4725d0-43b4-43dc-9b4c-db7d2f3205f7.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Mudd's Women|292575|20|https://api.ccgtrader.co.uk/uploads/_/originals/555d70bd-1e41-492f-b051-6ba28ef3bc54.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Mugato|292632|30|https://api.ccgtrader.co.uk/uploads/_/originals/957ef1ba-6075-4289-98b9-875762f839db.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Nomad|292633|34|https://api.ccgtrader.co.uk/uploads/_/originals/167da07f-eff9-467d-b11a-79c6c998e10a.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Onlies|292634|10|https://api.ccgtrader.co.uk/uploads/_/originals/127fa2d5-0a47-434d-83c9-5f957f54f246.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Organian Council of Elders|292635|34|https://api.ccgtrader.co.uk/uploads/_/originals/94c626b5-572e-4dc0-9233-4deeb3f1d0cf.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Otto|292636|20|https://api.ccgtrader.co.uk/uploads/_/originals/74c49e2c-dbee-4224-b5e0-fada782ad2a8.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Planetary Guards|292637|10|https://api.ccgtrader.co.uk/uploads/_/originals/88302f9a-7f01-418f-8769-fd4d1a604d88.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Plasus|292604|20|https://api.ccgtrader.co.uk/uploads/_/originals/f4836c68-8fce-4fed-a737-ff11ced3d1ca.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Rojan|292586|30|https://api.ccgtrader.co.uk/uploads/_/originals/6b3d2bdb-00b5-4934-920f-863c1cd2e862.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Romulan Battle Cruiser Commander|292640|20|https://api.ccgtrader.co.uk/uploads/_/originals/e640fda9-b6ab-4a94-8e91-3e424a552e53.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
Romulan Bird-of-Prey Commander|292639|10|https://api.ccgtrader.co.uk/uploads/_/originals/b8e8104d-cde6-4f21-a3ee-3c5dc481b4ba.jpg|1006|star-trek-the-card-game-ccg|Star Trek The Card Game: Base Set|1996-06-01
